"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_PARTY_MENU_TITLE","Party","Party","Party","Party","Party","Party","Party","Party","Party","Équipe","Party","Party","Party","Party"
"STR_PARTY_ONLINE_PLAYERS","Online players","Online players","Online players","Online players","Online players","Online players","Online players","Online players","Online players","Joueurs connectés","Online players","Online players","Online players","Online players"
"STR_PARTY_YOUR_PARTY","Your party","Your party","Your party","Your party","Your party","Your party","Your party","Your party","Your party","Votre équipe","Your party","Your party","Your party","Your party"
"STR_PARTY_CREATE","Create party","Create party","Create party","Create party","Create party","Create party","Create party","Create party","Create party","Créer une équipe","Create party","Create party","Create party","Create party"
"STR_PARTY_LEAVE","Leave","Leave","Leave","Leave","Leave","Leave","Leave","Leave","Leave","Quitter","Leave","Leave","Leave","Leave"
"STR_PARTY_DISBAND","Disband","Disband","Disband","Disband","Disband","Disband","Disband","Disband","Disband","Dissoudre","Disband","Disband","Disband","Disband"
"STR_PARTY_CLOSE","Close","Close","Close","Close","Close","Close","Close","Close","Close","Fermer","Close","Close","Close","Close"
"STR_PARTY_ACCEPT","Accept","Accept","Accept","Accept","Accept","Accept","Accept","Accept","Accept","Accepter","Accept","Accept","Accept","Accept"
"STR_PARTY_DECLINE","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Refuser","Decline","Decline","Decline","Decline"
"STR_PARTY_INVITE","Invite","Invite","Invite","Invite","Invite","Invite","Invite","Invite","Invite","Inviter","Invite","Invite","Invite","Invite"
"STR_PARTY_KICK","Kick","Kick","Kick","Kick","Kick","Kick","Kick","Kick","Kick","Exclure","Kick","Kick","Kick","Kick"
"STR_PARTY_PROMOTE","Promote","Promote","Promote","Promote","Promote","Promote","Promote","Promote","Promote","Promouvoir","Promote","Promote","Promote","Promote"
"STR_PARTY_LEADER_TAG","Leader","Leader","Leader","Leader","Leader","Leader","Leader","Leader","Leader","Chef","Leader","Leader","Leader","Leader"
"STR_PARTY_IN_PARTY","In a party","In a party","In a party","In a party","In a party","In a party","In a party","In a party","In a party","Déjà en équipe","In a party","In a party","In a party","In a party"
"STR_PARTY_EMPTY","You are not in a party.","You are not in a party.","You are not in a party.","You are not in a party.","You are not in a party.","You are not in a party.","You are not in a party.","You are not in a party.","You are not in a party.","Vous n'êtes dans aucune équipe.","You are not in a party.","You are not in a party.","You are not in a party.","You are not in a party."
"STR_PARTY_INVITE_PROMPT","%1 invited you to their party.","%1 invited you to their party.","%1 invited you to their party.","%1 invited you to their party.","%1 invited you to their party.","%1 invited you to their party.","%1 invited you to their party.","%1 invited you to their party.","%1 invited you to their party.","%1 vous invite dans son équipe.","%1 invited you to their party.","%1 invited you to their party.","%1 invited you to their party.","%1 invited you to their party."
"STR_PARTY_TOAST_HINT","Press %1 to respond.","Press %1 to respond.","Press %1 to respond.","Press %1 to respond.","Press %1 to respond.","Press %1 to respond.","Press %1 to respond.","Press %1 to respond.","Press %1 to respond.","Appuyez sur %1 pour répondre.","Press %1 to respond.","Press %1 to respond.","Press %1 to respond.","Press %1 to respond."
"STR_PARTY_INVITE_SENT","Invitation sent to %1.","Invitation sent to %1.","Invitation sent to %1.","Invitation sent to %1.","Invitation sent to %1.","Invitation sent to %1.","Invitation sent to %1.","Invitation sent to %1.","Invitation sent to %1.","Invitation envoyée à %1.","Invitation sent to %1.","Invitation sent to %1.","Invitation sent to %1.","Invitation sent to %1."
"STR_PARTY_INVITE_DECLINED","%1 declined your invitation.","%1 declined your invitation.","%1 declined your invitation.","%1 declined your invitation.","%1 declined your invitation.","%1 declined your invitation.","%1 declined your invitation.","%1 declined your invitation.","%1 declined your invitation.","%1 a refusé votre invitation.","%1 declined your invitation.","%1 declined your invitation.","%1 declined your invitation.","%1 declined your invitation."
"STR_PARTY_INVITE_EXPIRED","The invitation from %1 expired.","The invitation from %1 expired.","The invitation from %1 expired.","The invitation from %1 expired.","The invitation from %1 expired.","The invitation from %1 expired.","The invitation from %1 expired.","The invitation from %1 expired.","The invitation from %1 expired.","L'invitation de %1 a expiré.","The invitation from %1 expired.","The invitation from %1 expired.","The invitation from %1 expired.","The invitation from %1 expired."
"STR_PARTY_INVITE_COOLDOWN","Slow down - wait before inviting again.","Slow down - wait before inviting again.","Slow down - wait before inviting again.","Slow down - wait before inviting again.","Slow down - wait before inviting again.","Slow down - wait before inviting again.","Slow down - wait before inviting again.","Slow down - wait before inviting again.","Slow down - wait before inviting again.","Doucement — attendez avant de réinviter.","Slow down - wait before inviting again.","Slow down - wait before inviting again.","Slow down - wait before inviting again.","Slow down - wait before inviting again."
